The monthly and annual values of the modulation parameter (in MV) reconstructed from the ground based cosmic
ray data, using the the procedure described in Refs.(1 and 2).
Data for the period 06/1936 - 04/1951 were taken from the pseudo-Climax NM count rate (ref. 3),
and since 05/1951 onwards - from the world NM network (Ref.1 and 2).
Local Interstellar spectrum (LIS) corresponds to Ref. (4)

References:
[1] Usoskin, I.G., K. Alanko-Huotari, G.A. Kovaltsov, and K. Mursula, Heliospheric modulation of cosmic rays:
    Monthly reconstruction for 1951-2004, J. Geophys. Res., 110, A12108, 2005 (doi:10.1029/2005JA011250).
[2] Usoskin, I. G., G. A. Bazilevskaya, and G. A. Kovaltsov, Solar modulation parameter for cosmic rays since
    1936 reconstructed from ground-based neutron monitors and ionization chambers, J. Geophys. Res., 116, 2011
    (doi:10.1029/2010JA016105).
[3] McCracken, K.G., and J. Beer, Long-term changes in the cosmic ray intensity at Earth, 1428-2005, J. Geophys.
    Res., 112, A10101, 2007 (doi:10.1029/2006JA012117).
[4] Burger, R. A., M. S. Potgieter, and B. Heber (2000), Rigidity dependence of cosmic ray proton latitudinal 
    gradients measured by the Ulysses spacecraft: Implication for the diffusion tensor, J. Geophys. Res., 105, 27,447. 
						

Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec  Annual
1956   511   551   623   567   604   592   555   562   598   521   647   822   593
1957   955   967   929  1053   984  1033  1087  1021  1226  1149  1180  1284  1068
1958  1266  1226  1330  1308  1167  1090  1216  1120  1093  1089  1063  1125  1172
1959  1080  1139  1029   965  1072   996  1327  1269  1187  1044  1022  1056  1095
1960  1136  1080  1007  1112  1109  1042  1042   953   956   953  1024   945  1028
1961   848   815   813   822   776   783   956   836   787   749   676   698   795
1962   700   723   708   737   689   678   667   667   699   705   668   678   693
1963   612   587   592   567   603   566   562   575   613   578   561   538   579
1964   515   519   495   479   468   469   459   456   430   433   436   406   451
1965   389   394   371   348   338   386   406   413   406   394   371   376   382
1966   412   420   441   452   431   479   507   515   665   575   541   584   499
1967   632   656   597   579   630   655   625   671   658   645   690   689   643
1968   674   707   713   669   694   765   761   742   789   850   985   934   770
1969   811   799   820   823   962  1014   948   861   819   798   796   791   852
1970   810   769   784   834   835   937   934   855   780   758   834   706   818
1971   717   641   646   624   591   515   514   493   497   465   475   488   553
1972   507   520   453   427   457   528   461   636   475   461   505   476   491
1973   463   473   498   565   616   524   491   466   427   428   416   418   481
1974   420   402   438   461   527   567   630   563   605   590   565   499   520
1975   494   459   450   429   420   407   417   442   436   437   471   448   442
1976   446   440   436   461   434   426   412   408   407   408   404   411   424
1977   421   417   419   416   417   442   487   476   475   438   408   418   436
1978   478   496   510   588   669   602   591   495   495   566   528   530   544
1979   584   609   653   738   706   812   799   906   860   778   774   688   739
1980   716   743   686   762   757   886   885   855   866   960  1052  1038   845
1981   878   968   995  1055  1124   967   930   923   871  1046  1010   886   969
1982   813   982   828   798   758  1009  1258  1240  1422  1222  1150  1256  1046
1983  1086   969   877   874  1029   928   826   836   803   787   762   761   874
1984   709   736   800   846   967   880   842   778   753   751   772   746   797
1985   724   656   636   609   596   542   549   543   501   495   464   485   564
1986   486   575   507   434   416   405   403   402   401   378   433   382   434
1987   339   311   312   328   349   406   435   468   501   492   534   534   414
1988   626   593   581   602   590   610   681   697   682   714   728   819   658
1989   893   898  1183  1132  1234  1187  1022  1114  1195  1356  1470  1362  1161
1990  1232  1196  1275  1424  1452  1435  1247  1294  1187  1073   996   985  1226
1991   872   862  1257  1197  1158  2016  1938  1471  1190  1126  1115  1028  1234
1992  1019  1066   948   815   860   748   682   695   724   658   679   616   785
1993   632   634   685   621   599   580   573   571   548   545   534   541   588
1994   536   598   603   605   576   573   544   518   497   507   499   505   546
1995   484   470   494   476   468   472   473   464   459   457   451   437   467
1996   436   414   412   411   419   424   425   429   431   449   451   437   428
1997   418   400   404   413   404   405   409   394   404   424   439   424   412
1998   427   423   413   513   572   555   514   568   515   478   502   540   500
1999   602   602   589   573   589   539   513   609   691   733   751   787   629
2000   752   794   865   848   967  1073  1167  1057   992   882  1023   960   944
2001   881   774   725   995   874   832   808   904   897   959   865   833   860
2002   977   826   888   895   900   863   948  1058   963   926  1023   986   936
2003   895   892   876   909   945  1067   959   908   869   963  1281   930   954
2004   936   784   705   676   630   636   693   662   632   545   645   615   677
2005   788   642   620   589   681   610   643   676   798   596   542   540   641
2006   516   462   435   430   423   423   443   436   440   407   408   467   440
2007   391   396   376   355   351   354   357   361   352   348   353   340   361
2008   360   367   362   361   370   367   356   342   336   322   302   309   334
2009   302   285   276   267   267   270   269   274   270   260   258   255   271
2010   271   316   347   376   361   371   377   388   388   374   389   412   364
2011   398   414   426   496   453   551   518   509   513   534   488   438   478
2012   490   533   634   506   494   546   664   643   583   587   571   544   565
2013   533   530   564   559   674   679   665   640   614   571   590   625   603
2014   606   681   652   633   600   656   628   590   634   632   645   731   645
2015   695   686   743   705   655   666   617   612   611   601   585   561   644
2016   500   468   475   468   464   447   464   438   436   407   385   386   444
2017   366   357   348   367   359   350   383   420   444   405   367   360   377 
2018   358   348   344   336   341   321   323   323   318   313   319   325   331
2019   324   330   308   309   337   315   315   318   305   299   305   303   314
2020   294   279   283   269   280   291   295   297   298   302   301   321   293
2021   326   365   320   306   309   316   330   316   322   322   349   337   327
2022   345   375   378   388   433   485   526   566   531   503   507   590   469
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++													
